TP_FAIXA_ETARIA,TP_SEXO,TP_COR_RACA,TP_NACIONALIDADE,TP_ANO_CONCLUIU,TP_ESCOLA,CO_MUNICIPIO_PROVA,CO_UF_PROVA,SG_UF_PROVA,TP_PRESENCA_CN,TP_PRESENCA_CH,TP_PRESENCA_LC,TP_PRESENCA_MT,NU_NOTA_CN,NU_NOTA_CH,NU_NOTA_LC,NU_NOTA_MT,NU_NOTA_REDACAO,Q006
17 anos,F,Preta,Brasileiro(a),Não informado,Não Respondeu,3156700,31,MG,Presente,Presente,Presente,Presente,476.9,449.4,451.5,437.4,640.0,H
20 anos,M,Preta,Brasileiro(a),Não informado,Pública,5218805,52,GO,Faltou,Faltou,Faltou,Faltou,,,,,,C
17 anos,F,Branca,Brasileiro(a),Não informado,Privada,3148004,31,MG,Presente,Presente,Presente,Presente,554.3,469.9,536.4,552.8,900.0,G
19 anos,M,Branca,Brasileiro(a),Não informado,Não Respondeu,1100023,11,RO,Presente,Presente,Presente,Presente,450.7,380.5,444.6,397.3,360.0,G
18 anos,F,Branca,Brasileiro(a),Não informado,Privada,3552205,35,SP,Faltou,Presente,Presente,Faltou,,383.0,532.0,,540.0,I
17 anos,M,Parda,Brasileiro(a),Não informado,Pública,3115508,31,MG,Presente,Presente,Presente,Presente,650.6,625.0,609.1,694.7,880.0,B
17 anos,M,Branca,Brasileiro(a),Não informado,Privada,5300108,53,DF,Presente,Presente,Presente,Presente,532.1,649.1,564.2,629.4,580.0,C
18 anos,M,Branca,Brasileiro(a),Não informado,Pública,3170206,31,MG,Faltou,Faltou,Faltou,Faltou,,,,,,C
20 anos,M,Parda,Brasileiro(a),2018,Não Respondeu,1200609,12,AC,Faltou,Faltou,Faltou,Faltou,,,,,,B
20 anos,F,Branca,Brasileiro(a),2018,Não Respondeu,3145604,31,MG,Presente,Presente,Presente,Presente,582.7,650.2,584.9,725.5,920.0,I
19 anos,F,Parda,Brasileiro(a),2020,Não Respondeu,3203007,32,ES,Presente,Presente,Presente,Presente,552.7,592.5,519.4,647.2,600.0,C
20 anos,F,Preta,Brasileiro(a),Não informado,Pública,5217302,52,GO,Faltou,Faltou,Faltou,Faltou,,,,,,C
17 anos,M,Parda,Brasileiro(a),Não informado,Pública,5208707,52,GO,Faltou,Presente,Presente,Faltou,,546.7,521.2,,620.0,H
Menor de 17 anos,F,Branca,Brasileiro(a),Não informado,Pública,4318002,43,RS,Presente,Presente,Presente,Presente,532.7,626.9,610.6,471.8,580.0,D
17 anos,F,Branca,Brasileiro(a),Não informado,Pública,3538006,35,SP,Presente,Presente,Presente,Presente,558.0,464.9,457.4,403.1,540.0,D
18 anos,F,Branca,Brasileiro(a),Não informado,Pública,4115200,41,PR,Presente,Presente,Presente,Presente,552.1,631.8,625.3,609.8,880.0,P
17 anos,F,Branca,Brasileiro(a),Não informado,Pública,4113700,41,PR,Presente,Presente,Presente,Presente,428.6,337.2,411.1,591.5,640.0,C
17 anos,M,Parda,Brasileiro(a),Não informado,Pública,2307304,23,CE,Presente,Presente,Presente,Presente,542.5,575.0,570.1,705.4,640.0,D
Entre 31 e 35 anos,F,Parda,Brasileiro(a),Não informado,Não Respondeu,3550308,35,SP,Faltou,Faltou,Faltou,Faltou,,,,,,C
17 anos,F,Branca,Brasileiro(a),Não informado,Pública,5300108,53,DF,Presente,Presente,Presente,Presente,346.6,426.6,480.3,419.8,580.0,F
Entre 26 e 30 anos,F,Branca,Brasileiro(a),2016,Não Respondeu,4314902,43,RS,Faltou,Faltou,Faltou,Faltou,,,,,,F
